user_id,device_model,operating_system,app_usage_time_min_day,screen_on_time_hours_day,battery_drain_mah_day,number_of_apps_installed,data_usage_mb_day,age,gender,user_behavior_class
1,google pixel 5,android,393,6.4,1872,67,1122,40,male,4
2,oneplus 9,android,268,4.7,1331,42,944,47,female,3
3,xiaomi mi 11,android,154,4.0,761,32,322,42,male,2
4,google pixel 5,android,239,4.8,1676,56,871,20,male,3
5,iphone 12,ios,187,4.3,1367,58,988,31,female,3
6,google pixel 5,android,99,2.0,940,35,564,31,male,2
7,samsung galaxy s21,android,350,7.3,1802,66,1054,21,female,4
8,oneplus 9,android,543,11.4,2956,82,1702,31,male,5
9,samsung galaxy s21,android,340,7.7,2138,75,1053,42,female,4
10,iphone 12,ios,424,6.6,1957,75,1301,42,male,4
11,google pixel 5,android,53,1.4,435,17,162,34,female,1
12,oneplus 9,android,215,5.5,1690,47,641,24,male,3
13,oneplus 9,android,462,6.2,2303,65,1099,57,female,4
14,xiaomi mi 11,android,215,4.9,1662,43,857,43,male,3
15,iphone 12,ios,189,5.4,1754,53,779,49,female,3
16,google pixel 5,android,503,10.4,2571,84,2025,39,female,5
17,oneplus 9,android,132,3.6,628,32,344,47,female,2
18,iphone 12,ios,299,5.8,1431,41,985,44,female,3
19,google pixel 5,android,81,1.4,558,16,297,26,female,1
20,iphone 12,ios,577,8.5,2774,89,2192,29,female,5
21,samsung galaxy s21,android,93,2.6,681,37,302,45,female,2
22,oneplus 9,android,576,11.6,2803,82,1553,43,female,5
23,samsung galaxy s21,android,423,6.5,2094,65,1372,23,female,4
24,google pixel 5,android,292,5.6,1401,46,949,37,female,3
25,oneplus 9,android,216,4.0,1711,59,748,58,male,3
26,samsung galaxy s21,android,91,3.4,1073,38,451,52,male,2
27,iphone 12,ios,444,7.6,2372,77,1002,29,male,4
28,google pixel 5,android,512,10.5,2409,89,1599,33,male,5
29,oneplus 9,android,452,6.8,2387,77,1456,55,female,4
30,samsung galaxy s21,android,412,6.2,1899,78,1384,19,female,4
